sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C09-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2027,4.780738981642966,0.6092922402626105,0.8487804878048781,1.5914193398667988,0.5119041553442029,0.8119676324116695
C09-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2658,3.8666867784728867,0.6915395117010699,0.8766540367239871,1.5084094740038103,0.5003576011473431,0.8276004510003715
C09-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4917,3.3236738987336945,0.8443465028491658,0.9156626506024097,1.374380192586411,0.47751075634057977,0.871585162136272
C10-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C10-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C10-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C11-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C11-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C11-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C12-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1933,4.956775675920353,0.5959805880872031,0.8489326765188834,1.558781017363759,0.5064646550422706,0.8107145127714123
C12-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2772,4.105592606136062,0.6545304025894573,0.8571428571428572,1.538806644205515,0.49237762303743965,0.8142185590267478
C12-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4126,3.5899781172932292,0.7767972090653161,0.8944190451904337,1.4061552998416385,0.48301771965579704,0.8521426754286003
C13-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C13-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C13-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,0,,,,,,
C14-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2144,4.734031409598079,0.5902059648119125,0.843535672572822,1.5511648707548158,0.5010822388285024,0.8032350111770524
C14-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2793,4.101726696299568,0.6442629648487262,0.8522727272727273,1.524119337305748,0.4932239772041063,0.8087884952225106
C14-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4625,3.399221589132705,0.8064243192595053,0.9027027027027027,1.3983191401228763,0.48081502868357484,0.8580651354235179
C15-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1979,4.93752598892475,0.6045358062734448,0.8533007334963326,1.5703734919986307,0.5086725354770532,0.8173726389357883
C15-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2575,4.147901434618866,0.6618941266940989,0.8639240506329113,1.519947505435127,0.49837050875603867,0.8150102512303301
C15-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4510,3.4455978332997264,0.8060618576892227,0.9047619047619048,1.413369378660265,0.4802055027173913,0.8615110772258622
C16-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1814,5.230972266162188,0.592227069793479,0.8484099317017644,1.5384686186295755,0.5062240526871981,0.8151665904646639
C16-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2518,4.193567780719649,0.6447041993128497,0.8555415968732552,1.5345268056704437,0.49802753245772946,0.8100094069976587
C16-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4573,3.408547317463651,0.806772763331724,0.9037433155080214,1.3948868366182832,0.4824836767814009,0.8587962287925642
C17-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1783,5.345028672818396,0.5540735122922087,0.8328445747800586,1.586605152342267,0.506399550875604,0.7969713041154727
