sample_id,precursor,d_um,D_f,solidity,elongation,roughness_ratio,n_scales,seg_config_hash
C01-L,L,7.444763470769674,1.04130552518656,0.7126530612244898,0.48462004940982895,1.1792988767657329,7,4127c40a82c2
C01-L,L,12.815690090647111,1.0611349128069998,0.575912733748887,0.6232117158200965,1.5593719108051471,8,4127c40a82c2
C01-L,L,7.1799562345864585,1.0743858908684298,0.8684491978609625,0.2153933774598078,1.1020384629809128,6,4127c40a82c2
C01-L,L,6.93252943344809,1.0792182906564085,0.8210412147505423,0.4326683405251269,1.1670886183854363,6,4127c40a82c2
C01-L,L,9.223509121051734,1.0869932095784391,0.7188841201716738,0.5211344956936632,1.4523599257066415,7,4127c40a82c2
C01-L,L,12.36180326223526,1.0553456366509795,0.7933421226104153,0.5217280109304787,1.2053202974565105,8,4127c40a82c2
C01-L,L,12.756105001872784,1.0425899344648357,0.916994633273703,0.1264022614506355,1.0581240527169018,7,4127c40a82c2
C01-L,L,6.258732129979279,,0.8852223816355811,0.3705919563440685,1.0389625087446888,0,4127c40a82c2
C01-L,L,7.263472461190293,1.037838509361873,0.8075801749271136,0.4281799603324087,1.2923282098660913,7,4127c40a82c2
C01-L,L,9.288669504833152,1.0549106702153552,0.7545807884508606,0.6318348002105827,1.3361989205021747,8,4127c40a82c2
C01-L,L,5.989188834889949,1.0709931067365082,0.8395245170876672,0.3941726012963853,1.05452909156026,5,4127c40a82c2
C01-L,L,10.522453680805036,1.0976969011391566,0.8515625,0.4336988457261003,1.2486633364716209,8,4127c40a82c2
C01-L,L,7.819102853803413,1.0452173446332689,0.7624703087885986,0.52339508413354,1.1640135755553571,6,4127c40a82c2
C01-L,L,8.40981375216695,1.0229170764726243,0.8549501151189562,0.6188018396881718,1.0824265668609576,7,4127c40a82c2
C01-L,L,12.083916076106823,1.0323661079235469,0.7416962270235408,0.5775985773077219,1.2257216375228155,8,4127c40a82c2
C01-L,L,11.12371112327434,1.0576939016192788,0.6802792321116928,0.6602915310618955,1.4501841137099343,8,4127c40a82c2
C01-L,L,11.095137453877237,1.0342701741378975,0.856827220503756,0.22372866999950836,1.2066687420322801,8,4127c40a82c2
C01-L,L,15.569036773002116,1.0464489745973655,0.8223131595950893,0.42834754271824593,1.2561525884590128,8,4127c40a82c2
C01-L,L,8.15299400961574,1.0442672616754187,0.896404109589041,0.4981359745423334,1.0731171944459477,7,4127c40a82c2
C01-L,L,9.257861229233907,1.0473756271661423,0.8479899497487438,0.4895381519523714,1.107342038946045,7,4127c40a82c2
C01-L,L,11.59322357754754,1.0311403882620376,0.617201166180758,0.2059042960077867,1.5466270675459086,8,4127c40a82c2
C01-L,L,5.925245485177561,,0.8573643410852713,0.19865225712291124,1.0800236865563642,0,4127c40a82c2
C01-L,L,10.849223282548534,1.0683084268827465,0.8934939759036145,0.10948534387967357,1.338020563970672,7,4127c40a82c2
