sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C25-L,455,10.33679349989918,3,percentile_80,80.0,0.082
C25-M,688,7.75181410135832,3,percentile_80,80.0,0.082
C25-S,1958,4.892315511878591,3,percentile_80,80.0,0.082
C26-L,452,10.157116751185985,3,percentile_80,80.0,0.082
C26-M,409,10.684116774271871,3,percentile_80,80.0,0.082
C26-S,1680,5.117474403242236,3,percentile_80,80.0,0.082
C27-L,478,9.986922436648186,3,percentile_80,80.0,0.082
C27-M,522,8.874464528795398,3,percentile_80,80.0,0.082
C27-S,1909,4.754105131057737,3,percentile_80,80.0,0.082
C01-L,586,8.47935615507615,3,percentile_85,85.0,0.082
C01-M,732,6.9690588017547075,3,percentile_85,85.0,0.082
C01-S,3004,3.8543549897343925,3,percentile_85,85.0,0.082
C02-L,581,8.688298026561062,3,percentile_85,85.0,0.082
C02-M,593,8.110052397108145,3,percentile_85,85.0,0.082
C02-S,2629,4.2011305781721076,3,percentile_85,85.0,0.082
C03-L,540,8.890535035111274,3,percentile_85,85.0,0.082
C03-M,499,8.968753539965386,3,percentile_85,85.0,0.082
C03-S,2813,4.08621916744697,3,percentile_85,85.0,0.082
C04-L,486,9.599570019068608,3,percentile_85,85.0,0.082
C04-M,627,7.7661466117142375,3,percentile_85,85.0,0.082
C04-S,2614,4.124878677152203,3,percentile_85,85.0,0.082
C05-L,642,8.40603066843877,3,percentile_85,85.0,0.082
C05-M,579,8.466243464286748,3,percentile_85,85.0,0.082
C05-S,3163,3.887158602416619,3,percentile_85,85.0,0.082
C06-L,564,9.044528263941888,3,percentile_85,85.0,0.082
C06-M,594,8.135448534074799,3,percentile_85,85.0,0.082
C06-S,2080,4.656279268811705,3,percentile_85,85.0,0.082
C07-L,585,8.833233764191686,3,percentile_85,85.0,0.082
C07-M,580,8.280482813930712,3,percentile_85,85.0,0.082
C07-S,2909,4.0156942680121945,3,percentile_85,85.0,0.082
C08-L,581,8.677330256954411,3,percentile_85,85.0,0.082
C08-M,766,7.228425344953597,3,percentile_85,85.0,0.082
C08-S,2905,3.935851422566431,3,percentile_85,85.0,0.082
C09-L,553,9.192482465355022,3,percentile_85,85.0,0.082
C09-M,490,8.872658010514836,3,percentile_85,85.0,0.082
C09-S,2600,3.9998532032338936,3,percentile_85,85.0,0.082
C10-L,594,9.074312641967275,3,percentile_85,85.0,0.082
C10-M,513,9.095278257519212,3,percentile_85,85.0,0.082
C10-S,2859,3.9679813550430554,3,percentile_85,85.0,0.082
C11-L,528,9.353375343472251,3,percentile_85,85.0,0.082
C11-M,638,7.632146071881042,3,percentile_85,85.0,0.082
C11-S,2861,4.0550261985540725,3,percentile_85,85.0,0.082
C12-L,530,8.798996449097638,3,percentile_85,85.0,0.082
C12-M,717,7.499989291953865,3,percentile_85,85.0,0.082
C12-S,2333,4.549383858971028,3,percentile_85,85.0,0.082
C13-L,457,10.110129544871075,3,percentile_85,85.0,0.082
C13-M,463,9.706456953511141,3,percentile_85,85.0,0.082
C13-S,2758,4.113317165865251,3,percentile_85,85.0,0.082
C14-L,627,8.625962945734093,3,percentile_85,85.0,0.082
C14-M,643,7.979841199727464,3,percentile_85,85.0,0.082
C14-S,3001,3.9196876934001574,3,percentile_85,85.0,0.082
C15-L,574,8.931511288901941,3,percentile_85,85.0,0.082
C15-M,474,8.762875375200622,3,percentile_85,85.0,0.082
C15-S,2454,4.193567780719649,3,percentile_85,85.0,0.082
C16-L,499,9.544863740545937,3,percentile_85,85.0,0.082
C16-M,505,9.447925122907568,3,percentile_85,85.0,0.082
C16-S,2198,4.385964343097444,3,percentile_85,85.0,0.082
C17-L,469,10.157117231996326,3,percentile_85,85.0,0.082
C17-M,421,10.144608462186483,3,percentile_85,85.0,0.082
