subset_id,subset_description,group,target,term,SS,df,MS,F,p_parametric,eta2,omega2,perm_p,n_samples,design_orthogonal,type_agreement,type_max_abs_diff
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,precursor:t_hold,0.00041912942695887523,2.0,0.00020956471347943761,0.5710912457122981,0.5713515505364879,0.00823023464943593,0.0,0.8070385922815437,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,T_C:beta,0.0019618044612457197,4.0,0.0004904511153114299,1.336543417800502,0.2810087875461117,0.03852297169758676,0.009630739422272482,0.7458508298340332,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,T_C:t_hold,0.002114054905241858,4.0,0.0005285137263104644,1.4402690096217323,0.24686273253754748,0.041512637416505536,0.012599016599642306,0.7024595080983803,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,beta:t_hold,0.0004061641691137652,4.0,0.0001015410422784413,0.27671261713346623,0.890524601429899,0.007975642374372012,0.0,0.9832033593281344,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,Residual,0.010274736342886115,28.0,0.0003669548693887898,,,0.20175985178758932,,,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,convexity,coupling_total,,6.0,,,,0.022872665270925387,0.0,,54,True,True,1.1671653227240952e-14
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,precursor,0.03253411574882392,1.0,0.03253411574882392,134.33356784466125,3.3660577429759015e-12,0.6224022240737804,0.6149198818543774,0.0001999600079984003,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,T_C,0.00864090822406638,2.0,0.00432045411203319,17.8391821083853,1.0100104287016568e-05,0.16530710526136702,0.1553209449052817,0.009398120375924815,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,beta,0.00012012340682332479,2.0,6.006170341166239e-05,0.24799514984230464,0.7820596493002622,0.00229805156369924,0.0,0.9392121575684863,54,True,True,2.818248022104508e-15
drop_precursor_M,"剔除前驱体M,只留{S,L}(3.67/12.40µm,跨度3.38倍)",precursor,solidity,t_hold,0.0011144155277733603,2.0,0.0005572077638866801,2.300714349562402,0.11882274512578195,0.021319611339169982,0.011997505610755792,0.5736852629474105,54,True,True,2.818248022104508e-15
