section,target,group,term,metric,value,ci_low,ci_high,se,n,note
anova_interaction,roughness,,precursor:T_C,MS,0.002258738719135067,,,,81.0,
anova_interaction,roughness,,precursor:T_C,F,2.2744230922058457,,,,81.0,
anova_interaction,roughness,,precursor:T_C,p_parametric,0.07487837973611303,,,,81.0,
anova_interaction,roughness,,precursor:T_C,eta2,0.018067383479986578,,,,81.0,
anova_interaction,roughness,,precursor:T_C,omega2,0.010103597000487085,,,,81.0,
anova_interaction,roughness,,precursor:T_C,perm_p,0.8342331533693261,,,,81.0,
anova_interaction,roughness,,precursor:beta,SS,0.0009277567942547194,,,,81.0,
anova_interaction,roughness,,precursor:beta,df,4.0,,,,81.0,
anova_interaction,roughness,,precursor:beta,MS,0.00023193919856367984,,,,81.0,
anova_interaction,roughness,,precursor:beta,F,0.2335497526703554,,,,81.0,
anova_interaction,roughness,,precursor:beta,p_parametric,0.9181250991851625,,,,81.0,
anova_interaction,roughness,,precursor:beta,eta2,0.0018552541774709674,,,,81.0,
anova_interaction,roughness,,precursor:beta,omega2,0.0,,,,81.0,
anova_interaction,roughness,,precursor:beta,perm_p,0.9974005198960207,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,SS,0.005719105513037448,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,df,4.0,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,MS,0.001429776378259362,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,F,1.4397045500901409,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,p_parametric,0.23538634687779533,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,eta2,0.011436611901056947,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,omega2,0.0034859675727483596,,,,81.0,
anova_interaction,roughness,,precursor:t_hold,perm_p,0.9248150369926015,,,,81.0,
anova_interaction,roughness,,T_C:beta,SS,0.006860503642457161,,,,81.0,
anova_interaction,roughness,,T_C:beta,df,4.0,,,,81.0,
anova_interaction,roughness,,T_C:beta,MS,0.0017151259106142902,,,,81.0,
anova_interaction,roughness,,T_C:beta,F,1.727035510612529,,,,81.0,
anova_interaction,roughness,,T_C:beta,p_parametric,0.15947048152892618,,,,81.0,
anova_interaction,roughness,,T_C:beta,eta2,0.013719089012382828,,,,81.0,
anova_interaction,roughness,,T_C:beta,omega2,0.005763920827547174,,,,81.0,
anova_interaction,roughness,,T_C:beta,perm_p,0.9008198360327935,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,SS,0.0012598226801401324,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,df,4.0,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,MS,0.0003149556700350331,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,F,0.31714267917767447,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,p_parametric,0.8651206331248504,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,eta2,0.0025192930999553944,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,omega2,0.0,,,,81.0,
anova_interaction,roughness,,T_C:t_hold,perm_p,0.9954009198160368,,,,81.0,
anova_interaction,roughness,,beta:t_hold,SS,0.0012808947226687906,,,,81.0,
anova_interaction,roughness,,beta:t_hold,df,4.0,,,,81.0,
anova_interaction,roughness,,beta:t_hold,MS,0.00032022368066719764,,,,81.0,
anova_interaction,roughness,,beta:t_hold,F,0.3224472701559391,,,,81.0,
anova_interaction,roughness,,beta:t_hold,p_parametric,0.8615534136058445,,,,81.0,
anova_interaction,roughness,,beta:t_hold,eta2,0.002561431293037067,,,,81.0,
anova_interaction,roughness,,beta:t_hold,omega2,0.0,,,,81.0,
anova_interaction,roughness,,beta:t_hold,perm_p,0.9964007198560288,,,,81.0,
anova_interaction,roughness,,Residual,SS,0.047668993025098416,,,,81.0,
anova_interaction,roughness,,Residual,df,48.0,,,,81.0,
anova_interaction,roughness,,Residual,MS,0.000993104021356217,,,,81.0,
anova_interaction,roughness,,Residual,F,,,,,81.0,
anova_interaction,roughness,,Residual,p_parametric,,,,,81.0,
anova_interaction,roughness,,Residual,eta2,0.09532465727366822,,,,81.0,
anova_interaction,roughness,,Residual,omega2,,,,,81.0,
anova_interaction,roughness,,Residual,perm_p,,,,,81.0,
