sample_id,D_sec,aspect_ratio,circularity,convexity,D_pri_sem,n_sec,n_pri,D_pri_sem_classic,n_pri_classic,primary_segmentable,acf_scale_um,edge_density
C11-M,9.197559665162274,1.6321812159454938,0.37780607604921823,0.7695229777085391,,476,0,,0,False,0.2382,0.1312
C11-S,4.0550261985540725,1.4475054959753453,0.6762511885183883,0.8589743589743589,,2861,0,,0,False,0.3349,0.1215
C12-L,9.634226087709997,1.451523287884354,0.49099214509717254,0.8288636913401064,,464,0,,0,False,0.1935,0.1358
C12-M,8.603854503709423,1.599656085254699,0.36249173065420365,0.7482494164721574,,533,0,,0,False,0.1786,0.1423
C12-S,4.646043170628641,1.4834659281020697,0.610513687492284,0.8408450704225352,,2223,0,,0,False,0.3052,0.1263
C13-L,10.47710458162205,1.4724771334619722,0.47710045517371913,0.8299180327868851,,425,0,,0,False,0.2382,0.1235
C13-M,11.077957875901715,1.5821354661515497,0.3286829153153,0.7578155916106054,,343,0,,0,False,0.1861,0.1297
C13-S,4.117175815757948,1.4687305677854265,0.6655288099050644,0.8573097463284379,1.0196942015707045,2756,204,1.630209405188778,131,True,0.3126,0.117
C14-L,9.27838873842304,1.5212046451091423,0.4369683142439774,0.8150891407152254,,526,0,,0,False,0.1638,0.1445
C14-M,9.27841144592807,1.6335823938977307,0.33159856049893277,0.7425066220549281,,479,0,,0,False,0.1861,0.1377
C14-S,3.9196876934001574,1.4293711229525659,0.7057355863466722,0.8705882352941177,,3001,0,,0,False,0.268,0.1293
C15-L,9.758642039901567,1.4770864803414034,0.4914376250034461,0.8365978487161694,,482,0,,0,False,0.1861,0.1365
C15-M,10.21321710946393,1.5818442311837149,0.3455167014478714,0.7552056833813858,,346,0,,0,False,0.2382,0.1331
C15-S,4.227492158576884,1.4821153283344861,0.6524774587444,0.8544232348111658,,2412,0,,0,False,0.2754,0.1245
C16-L,10.122680920957952,1.498954774134059,0.4878245707869858,0.8384647827920709,,439,0,,0,False,0.2159,0.1285
C16-M,10.624528374427825,1.5608139362772222,0.3359527396659331,0.7652453003209536,,369,0,,0,False,0.2456,0.135
