sample_id,n_particles,D10_num,D50_num,D90_num,Span_num,D10_vol,D50_vol,D90_vol,Span_vol,n_carry50vol,n_carry90vol,BIC1,BIC2,dBIC,mode1_um,mode2_um,w1_num,w2_num,w1_vol,w2_vol,separation,n_local_maxima,density_bimodal,condition_id,precursor,Theta,T_C,beta,t_hold
C13-L,425,6.584973292150193,10.46497126529402,15.551678755188703,0.8568303950127079,9.236023408621302,14.151067177111313,18.842566432385212,0.6788564355981606,82,261,265.81408553032463,267.2356997636235,1.4216142332988397,7.897371232399729,13.021778344009597,0.46092651475048463,0.5390734852495154,0.16341638640396808,0.8365836135960318,2.372585558221016,2,True,C13,L,10.174386742848624,900.0,5.0,10.0
C10-L,510,5.967950509724364,9.794358911187595,13.994950495595717,0.8195533836015056,8.595093248503659,12.621058086755742,15.65778815445438,0.5595961018008591,109,322,282.36508052478655,261.1756638027639,-21.189416722022656,7.1888222964824795,11.790847103912114,0.4367891823395096,0.5632108176604904,0.15734676434118308,0.8426532356588169,2.473469205223398,2,True,C10,L,10.435966857121558,900.0,2.0,10.0
C17-L,414,6.632047275370003,10.45890988555065,15.998618108381448,0.8955589956800076,9.573365505100236,14.115681338540002,20.07954803967096,0.7442915635879174,72,250,275.89278600571294,280.1304096891214,4.237623683408458,7.465080344032424,12.498350301122302,0.3727655630933948,0.6272344369066052,0.10648868746076047,0.8935113125392394,2.37907672852729,2,True,C17,L,15.10899171428039,900.0,8.0,15.0
C14-L,525,5.726363257292346,9.278388738423043,14.488642186355351,0.9443750608095607,8.293510206756492,13.001950339960825,17.347912362901223,0.6963879971388979,92,313,365.4120651230679,357.34045665612183,-8.071608466946088,6.880853812355647,11.642299239263762,0.4566090792135857,0.5433909207864143,0.14462696561466515,0.8553730343853349,2.45741022453604,2,True,C14,L,15.174386742848624,900.0,5.0,15.0
C11-L,444,6.179041944864806,10.106989265390176,14.821510341264625,0.8550982067423994,8.881944553485088,13.542033574833773,18.461347266210545,0.7073828801109765,84,273,279.2724075847238,278.9418123187316,-0.33059526599220135,7.389621390168157,12.219041143553122,0.4281583482865074,0.5718416517134927,0.14232680330730568,0.8576731966926944,2.371959232804028,2,True,C11,L,15.435966857121558,900.0,2.0,15.0
C18-L,363,6.989057981505026,11.251372044147457,16.464042277483575,0.8421181220211343,10.05345443882574,14.643660206056772,19.112624609791453,0.6186411077210563,72,227,217.7912316625845,219.64174710661592,1.85051544403143,8.132306055202404,13.351106747747735,0.38828614502878894,0.6117138549712111,0.12652372498692072,0.8734762750130793,2.333385063056191,1,False,C18,L,20.10899171428039,900.0,8.0,20.0
C15-L,482,6.006125050622804,9.755389158860169,14.061024338326181,0.8256871311369113,8.695683424872945,12.870522639955071,18.14070879422592,0.7338494040663095,89,296,301.4186427602102,304.7359554712912,3.3173127110810015,7.131680043565212,11.644684675782655,0.42738066085989684,0.5726193391401032,0.14652415718430117,0.8534758428156988,2.2415316970781594,1,False,C15,L,20.174386742848625,900.0,5.0,20.0
C12-L,469,6.288079645492169,9.456308975828986,14.809761103485052,0.9011636019693225,8.311046725095855,13.444441633405011,17.22703931203653,0.6631731409943697,83,282,310.33717783703287,301.1501883365467,-9.186989500486163,7.293424676725378,12.353357456003968,0.5064225121110566,0.49357748788894346,0.17273480437842514,0.8272651956215747,2.5978532233329528,2,True,C12,L,20.43596685712156,900.0,2.0,20.0
C25-L,362,6.998154742218233,11.290823971369903,16.879532688863492,0.8751688957069412,10.109573214248678,14.939753775836918,21.02604633490487,0.7306996677757934,68,222,246.15329266569182,251.84201581615375,5.688723150461925,8.33173111318171,13.724845746133244,0.42873478907421775,0.5712652109257822,0.1476874036325829,0.8523125963674172,2.202694629737551,1,False,C25,L,23.39542871423181,950.0,8.0,10.0
C22-L,268,7.251102378360515,12.471733569909592,18.83570840003084,0.9288689464646976,11.473618327805488,17.54760895926787,23.776177049988128,0.7010960154594152,45,158,229.96928457036952,237.18699586560575,7.217711295236228,8.496280602188124,14.77996897559214,0.35951356312579336,0.6404864368742066,0.0974016388353024,0.9025983611646976,2.2190243483759287,1,False,C22,L,23.55923578550109,950.0,5.0,10.0
