sample_id,precursor,r2
C01-L,L,0.913101686206514
C01-L,L,0.8024265370876339
C01-L,L,0.8736432915679856
C01-L,L,0.6508483375360401
C01-L,L,0.856805130688576
C01-L,L,0.5146689196989608
C01-L,L,0.9389190751249386
C01-L,L,0.842667334161081
C01-L,L,0.7783876998358497
C01-L,L,0.838817890249226
C01-L,L,0.7921733670512093
C01-L,L,0.7312252623028351
C01-L,L,0.7682012778117698
C01-L,L,0.8189066947418965
C01-L,L,0.9278689865969304
C01-L,L,0.9570906281607356
C01-L,L,0.7858337171923828
C01-L,L,0.7541511277947706
C01-L,L,0.8580100666435881
C01-L,L,0.9021440446346566
C01-L,L,0.9144997496432054
C01-L,L,0.9513950932487208
C01-L,L,0.9125570886106712
C01-L,L,0.8819381446505167
C01-L,L,0.967902232221396
C01-L,L,0.9387551326646302
C01-L,L,0.8481535183952599
C01-L,L,0.8598252915335526
C01-L,L,0.7612784557575324
C01-L,L,0.8528043805184685
C01-L,L,0.8653340918910942
C01-L,L,0.8237839857633038
C01-L,L,0.9035865134355155
C01-L,L,0.9403159990726232
C01-L,L,0.9605730768477376
C01-L,L,0.9170392700939152
C01-L,L,0.929526956088923
C01-L,L,0.8248388545972908
C01-L,L,0.9382265244879584
C01-L,L,0.9428480632959232
C01-L,L,0.8219485192216406
C01-L,L,0.6698825408942009
C01-L,L,0.7440723245172967
C01-L,L,0.7823499780300727
C01-L,L,0.8950775642539601
C01-L,L,0.9539775774663106
C01-L,L,0.638971732544743
C01-L,L,0.9183760500500492
C01-L,L,0.9609793289530876
C01-L,L,0.8809207639489751
C01-L,L,0.8353432842178249
C01-L,L,0.9365454456991116
C01-L,L,0.9097554091715764
C01-L,L,0.9518656015877904
C01-L,L,0.6968634235751097
C01-L,L,0.7205097727154524
C01-L,L,0.8148145175460164
C01-L,L,0.8676292223152888
C01-L,L,0.7944261701131392
C01-L,L,0.832251365375605
C01-L,L,0.8803045733464191
C01-L,L,0.9709012580769238
C01-L,L,0.848605713047804
C01-L,L,0.930984589266316
C01-L,L,0.9338334051863768
C01-L,L,0.7826170351251409
C01-L,L,0.8976299823687282
C01-L,L,0.9143525594749852
C01-L,L,0.7677015627238307
C01-L,L,0.9647942251607956
C01-L,L,0.9336157083387312
C01-L,L,0.885982559466188
C01-L,L,0.9126932732834386
C01-L,L,0.926582732129114
C01-L,L,0.6584595166612663
C01-L,L,0.9076037147422652
C01-L,L,0.7679671704661266
C01-L,L,0.7980965824492
C01-L,L,0.920783267276188
C01-L,L,0.7774343762414353
C01-L,L,0.8443533007555933
C01-L,L,0.8327140375776247
C01-L,L,0.90539649784849
C01-L,L,0.9562548751682844
C01-L,L,0.8340280370079524
C01-L,L,0.8570839257843537
C01-L,L,0.8819703480639766
C01-L,L,0.9439900766330828
C01-L,L,0.7645915985348732
C01-L,L,0.8725255891300745
C01-L,L,0.9664871797244752
C01-L,L,0.7694689165432776
C01-L,L,0.8989113758765133
C01-L,L,0.7764575988749551
C01-L,L,0.8331282445211718
C01-L,L,0.9063897445134416
C01-L,L,0.9408052930074372
C01-L,L,0.7942368865764402
C01-L,L,0.9413763267578944
C01-L,L,0.7777889379916998
C01-L,L,0.9499419617808031
C01-L,L,0.8695425489586656
C01-L,L,0.6973089606922489
C01-L,L,0.641427589186552
C01-L,L,0.9203139765066024
C01-L,L,0.946351342782226
C01-L,L,0.8181446585709533
C01-L,L,0.789314460323972
C01-L,L,0.9474506434062424
C01-L,L,0.9053241612433804
C01-L,L,0.833303430093741
C01-L,L,0.94137694686125
C01-L,L,0.9892820399723546
C01-L,L,0.9111569391092428
C01-L,L,0.7817827947201161
C01-L,L,0.92415070774738
C01-L,L,0.7461997286891298
C01-L,L,0.9197758776937408
C01-L,L,0.8835960819341426
C01-L,L,0.8418842471151726
C01-L,L,0.5953903613063205
C01-L,L,0.9078140779030404
C01-L,L,0.8736977205405672
C01-L,L,0.8484304819511372
C01-L,L,0.8607917450190075
C01-L,L,0.705786091868744
C01-L,L,0.8656886665150747
C01-L,L,0.902555325693472
C01-L,L,0.939712729121046
C01-L,L,0.8382038889643066
C01-L,L,0.9815174534315958
C01-L,L,0.8964490244164541
C01-L,L,0.8753208045312182
C01-L,L,0.942022926234142
C01-L,L,0.7079171389486743
C01-L,L,0.9562357553824936
C01-L,L,0.9348796031760668
C01-L,L,0.9541554628225918
C01-L,L,0.8787337302506797
C01-L,L,0.9385493233886854
C01-L,L,0.8134504063783334
C01-L,L,0.8629824163017948
C01-L,L,0.5179663439019501
C01-L,L,0.7527571441744356
C01-L,L,0.7832106103592305
C01-L,L,0.8972686459022184
C01-L,L,0.9273299532516324
C01-L,L,0.9206512259426628
C01-L,L,0.9473443830975792
