sample_id,hkl,precursor,cos_theta,residual_deg,is_ool_family
C21-M,18,M,0.8736018687661874,0.0018664870929754,False
C21-M,110,M,0.856580671310209,-0.0024857296500258,False
C21-M,113,M,0.8443208693981846,-0.0029845359375997,False
C21-L,3,L,0.989617963788343,-0.005083766893712,True
C21-L,6,L,0.9575841887689318,-0.0161094329469619,True
C21-L,101,L,0.9534616417738532,0.0041028145342565,False
C21-L,12,L,0.9498183921600836,0.0017510789685246,False
C21-L,104,L,0.93507749472623,0.0009299081138536,False
C21-L,15,L,0.9238423856541907,0.0070752073991187,False
C21-L,107,L,0.8932482902627774,0.0039706109297981,False
C21-L,18,L,0.8735842205449363,0.0008703798016824,False
C21-L,110,L,0.8565590352848524,-0.0034206689198583,False
C21-L,113,L,0.8442831777472061,-0.0014327946750825,False
C24-S,3,S,0.989597050038173,-0.0026293015777909,True
C24-S,6,S,0.9574526883897684,0.0074728982378928,True
C24-S,101,S,0.9535243414748594,0.0007174680740007,False
C24-S,12,S,0.9498758057931984,-0.0016904326356197,False
C24-S,104,S,0.9351204846506136,-0.0050465049606458,False
C24-S,15,S,0.9238739218655252,-0.0004525451719459,False
C24-S,107,S,0.8932179620367278,0.0004522858805344,False
C24-S,18,S,0.8735171803238542,-0.0015986171207842,False
C24-S,110,S,0.8567195827413876,0.0029606676731361,False
C24-S,113,S,0.8444529108592665,-0.0009572619347295,False
C24-M,3,M,0.9895963279915104,-0.0035845389184139,True
C24-M,6,M,0.9574529137775836,0.004446135568088,True
C24-M,101,M,0.9535545549248498,0.0027875060356095,False
C24-M,12,M,0.9499090980317422,-0.0009916680788606,False
C24-M,104,M,0.9351519400151288,-0.0044329365535134,False
C24-M,15,M,0.9239086291961236,-0.0012800827233832,False
C24-M,107,M,0.8932400052230889,0.0019821454155035,False
C24-M,18,M,0.8735429562091791,-0.0016648453486212,False
C24-M,110,M,0.8568511802615562,0.0005499641424719,False
C24-M,113,M,0.8445669261782398,0.0004392436986933,False
C24-L,3,L,0.9895873518215536,-0.0025057132592074,True
C24-L,6,L,0.9574437474783188,-0.0008137798532317,True
C24-L,101,L,0.9535579631013704,-0.0001940785909937,False
C24-L,12,L,0.949902907695372,-0.0008885186176215,False
C24-L,104,L,0.9351354511612424,-0.0029204531755482,False
C24-L,15,L,0.9238720383597868,0.0048098097673303,False
C24-L,107,L,0.8932146363517474,0.0012359856708741,False
C24-L,18,L,0.8735051669904107,-0.0012569264292352,False
C24-L,110,L,0.8568506842632939,0.0009121311147879,False
C24-L,113,L,0.8445713056777604,-0.0011693546864819,False
C25-S,3,S,0.9896001298053076,-0.0147980239594467,True
C25-S,6,S,0.957444866977908,0.007477743813375,True
C25-S,101,S,0.9535063319110656,0.0020041408889852,False
C25-S,12,S,0.949865798403057,-0.0029265814446617,False
C25-S,104,S,0.9351194371731472,-0.0071893134736669,False
C25-S,15,S,0.9238536246242794,0.0048069571462221,False
C25-S,107,S,0.893217043645044,0.003949612686469,False
C25-S,18,S,0.8735533744526234,-0.0044455102591598,False
C25-S,110,S,0.8567294493587526,0.0044042755754887,False
C25-S,113,S,0.8444881864694549,-0.0033596259517452,False
C25-M,3,M,0.9896045816474822,-0.0011387198362271,True
C25-M,6,M,0.9574821052452528,0.0086319625826405,True
C25-M,101,M,0.953554072010812,0.0026611154406381,False
C25-M,12,M,0.949909318680324,-0.0002701868533634,False
C25-M,104,M,0.935153959379628,-0.0004483411542821,False
C25-M,15,M,0.9239649981429672,-0.011090547990264,False
C25-M,107,M,0.8932904862398933,0.0016751161427848,False
C25-M,18,M,0.8736055744870168,-0.0008458919356755,False
C25-M,110,M,0.8568321262076968,0.0009332494221894,False
C25-M,113,M,0.8445547269171867,0.0013509215209808,False
C25-L,3,L,0.9895845204878012,-0.00229017984012,True
C25-L,6,L,0.957443253539089,0.0062014098978409,True
C25-L,101,L,0.9535320789414607,0.0004304538288479,False
C25-L,12,L,0.9498830179691992,-0.0015237721764336,False
C25-L,104,L,0.9351186466395603,-0.0008907117547636,False
C25-L,15,L,0.9238953389561004,-0.0026524106240515,False
C25-L,107,L,0.8932459600870417,-0.0005309540317455,False
C25-L,18,L,0.8735450462529328,-0.0006946198737054,False
C25-L,110,L,0.8568074676213965,0.0014634472830792,False
C25-L,113,L,0.8445352094429869,9.63686572390543e-05,False
C26-S,3,S,0.9896171798049808,-0.0019481808156278,True
C26-S,6,S,0.9575455455426144,-0.0017088102202436,True
C26-S,101,S,0.9534744639320948,0.0012217025355383,False
C26-S,12,S,0.9498306758532898,-0.0011559727205465,False
C26-S,104,S,0.9350866296451952,-0.001868619710585,False
C26-S,15,S,0.9238524712776528,0.0032467661059811,False
C26-S,107,S,0.8932466310676642,0.001280274489595,False
C26-S,18,S,0.8735727023753741,-0.000862605759309,False
C26-S,110,S,0.856540269598144,-0.000508433125141,False
C26-S,113,S,0.8442665983040541,-9.348492369554153e-06,False
C26-M,3,M,0.9896107412424616,0.0043807727926612,True
C26-M,6,M,0.9575344198941595,-0.0014248309152122,True
C26-M,101,M,0.9535103961324416,0.0025738907766807,False
C26-M,12,M,0.9498668115994852,-0.0004710028218966,False
C26-M,104,M,0.935119926256679,-0.0023789153027209,False
C26-M,15,M,0.9238992875810316,-0.0027877307355055,False
C26-M,107,M,0.8932509937983466,0.003197151373854,False
C26-M,18,M,0.8735736487453698,-0.0006809964529566,False
